Orthogroup	Duplications (all)	Duplications (50% support)
OG0000981	14	13
OG0000982	48	48
OG0000983	15	9
OG0000984	47	47
OG0000985	12	9
OG0000986	44	43
OG0000987	15	8
OG0000988	11	6
OG0000989	20	14
OG0000990	13	6
OG0000991	40	28
OG0000992	17	10
OG0000993	7	7
OG0000994	6	2
OG0000995	10	6
OG0000996	10	9
OG0000997	9	7
OG0000998	15	6
OG0000999	11	4
OG0001000	11	10
OG0001001	10	9
OG0001002	10	5
OG0001003	20	14
OG0001004	15	9
OG0001005	15	8
OG0001006	29	21
OG0001007	19	16
OG0001008	14	13
OG0001009	28	25
OG0001010	15	12
OG0001011	41	41
OG0001012	7	4
OG0001013	15	11
OG0001014	13	8
OG0001015	16	15
OG0001016	12	8
OG0001017	16	12
OG0001018	12	7
OG0001019	6	4
OG0001020	15	14
OG0001021	22	17
OG0001022	16	14
OG0001023	9	7
OG0001024	10	6
OG0001025	14	10
OG0001026	15	11
OG0001027	9	6
OG0001028	11	5
OG0001029	14	13
OG0001030	10	7
OG0001031	19	14
OG0001032	11	7
OG0001033	18	15
OG0001034	28	26
OG0001035	22	16
OG0001036	18	13
OG0001037	20	18
OG0001038	14	10
OG0001039	16	13
OG0001040	11	9
OG0001041	14	6
OG0001042	8	4
OG0001043	12	10
OG0001044	13	8
OG0001045	7	4
OG0001046	11	7
OG0001047	10	5
OG0001048	17	12
OG0001049	17	10
OG0001050	10	5
OG0001051	11	8
OG0001052	18	8
OG0001053	12	7
OG0001054	10	8
OG0001055	14	11
OG0001056	15	9
OG0001057	13	6
OG0001058	8	7
OG0001059	18	14
OG0001060	15	10
OG0001061	15	12
OG0001062	10	4
OG0001063	9	3
OG0001064	10	9
OG0001065	25	22
OG0001066	42	38
OG0001067	11	3
OG0001068	46	46
OG0001069	17	13
OG0001070	14	8
OG0001071	14	12
OG0001072	12	11
OG0001073	11	9
OG0001074	11	9
OG0001075	18	13
OG0001076	13	9
OG0001077	12	6
OG0001078	19	14
OG0001079	9	3
OG0001080	12	8
OG0001081	12	8
OG0001082	20	18
OG0001083	11	7
OG0001084	14	12
OG0001085	17	14
OG0001086	9	7
OG0001087	21	17
OG0001088	13	10
OG0001089	14	6
OG0001090	18	13
OG0001091	18	9
OG0001092	10	8
OG0001093	12	8
OG0001094	17	16
OG0001095	9	5
OG0001096	10	5
OG0001097	13	12
OG0001098	10	6
OG0001099	12	6
OG0001100	45	45
OG0001101	15	14
OG0001102	41	40
OG0001103	19	19
OG0001104	24	18
OG0001105	11	10
OG0001106	43	42
OG0001107	15	9
OG0001108	17	12
OG0001109	8	5
OG0001110	12	12
OG0001111	8	3
OG0001112	7	6
OG0001113	10	7
OG0001114	10	8
OG0001115	9	7
OG0001116	9	7
OG0001117	12	9
OG0001118	12	5
OG0001119	9	4
OG0001120	12	6
OG0001121	14	10
OG0001122	13	12
OG0001123	22	20
OG0001124	22	10
OG0001125	13	9
OG0001126	10	9
OG0001127	9	7
OG0001128	16	11
OG0001129	33	29
OG0001130	4	2
OG0001131	10	4
OG0001132	11	9
OG0001133	15	11
OG0001134	13	9
OG0001135	12	8
OG0001136	12	10
OG0001137	11	10
OG0001138	16	15
OG0001139	42	42
OG0001140	15	10
OG0001141	14	13
OG0001142	12	8
OG0001143	20	18
OG0001144	8	6
OG0001145	12	10
OG0001146	9	5
OG0001147	13	10
OG0001148	21	16
OG0001149	19	15
OG0001150	13	10
OG0001151	9	8
OG0001152	12	10
OG0001153	13	12
OG0001154	14	7
OG0001155	15	11
OG0001156	13	10
OG0001157	8	5
OG0001158	15	12
OG0001159	16	11
OG0001160	10	8
OG0001161	11	10
OG0001162	12	8
OG0001163	10	6
OG0001164	12	8
OG0001165	14	9
OG0001166	9	3
OG0001167	17	13
OG0001168	7	5
OG0001169	15	9
OG0001170	15	5
OG0001171	14	7
OG0001172	10	6
OG0001173	8	4
OG0001174	12	9
OG0001175	12	7
OG0001176	7	6
OG0001177	12	7
OG0001178	16	10
OG0001179	12	10
OG0001180	8	7
OG0001181	12	8
OG0001182	11	6
OG0001183	26	21
OG0001184	43	43
OG0001185	6	3
OG0001186	9	4
OG0001187	15	13
OG0001188	7	3
OG0001189	14	9
OG0001190	10	8
OG0001191	13	7
OG0001192	13	10
OG0001193	9	6
OG0001194	11	5
OG0001195	15	11
OG0001196	16	12
OG0001197	6	5
OG0001198	10	3
OG0001199	9	8
OG0001200	10	5
OG0001201	13	10
OG0001202	12	9
OG0001203	12	7
OG0001204	12	8
OG0001205	16	11
OG0001206	11	9
OG0001207	19	10
OG0001208	17	13
OG0001209	10	8
OG0001210	14	11
OG0001211	11	8
OG0001212	19	11
OG0001213	9	7
OG0001214	12	6
OG0001215	13	5
OG0001216	12	9
OG0001217	18	12
OG0001218	41	41
OG0001219	12	9
OG0001220	41	41
OG0001221	10	6
OG0001222	12	8
OG0001223	10	6
OG0001224	10	9
OG0001225	16	13
OG0001226	9	6
OG0001227	24	20
OG0001228	38	38
OG0001229	38	38
OG0001230	8	6
OG0001231	4	2
OG0001232	23	16
OG0001233	9	5
OG0001234	9	3
OG0001235	15	11
OG0001236	10	9
OG0001237	13	10
OG0001238	11	7
OG0001239	14	11
OG0001240	4	3
OG0001241	5	2
OG0001242	10	5
OG0001243	9	7
OG0001244	11	10
OG0001245	13	11
OG0001246	12	5
OG0001247	9	3
OG0001248	15	11
OG0001249	12	8
OG0001250	11	10
OG0001251	13	6
OG0001252	11	4
OG0001253	6	6
OG0001254	9	6
OG0001255	13	4
OG0001256	11	6
OG0001257	10	8
OG0001258	12	7
OG0001259	27	21
OG0001260	12	10
OG0001261	14	12
OG0001262	14	10
OG0001263	14	11
OG0001264	8	7
OG0001265	10	3
OG0001266	13	8
OG0001267	30	29
OG0001268	13	6
OG0001269	12	7
OG0001270	27	27
OG0001271	27	27
OG0001272	7	4
OG0001273	9	6
OG0001274	7	2
OG0001275	13	8
OG0001276	14	8
OG0001277	12	8
OG0001278	10	6
OG0001279	12	11
OG0001280	9	6
OG0001281	10	7
OG0001282	10	8
OG0001283	11	6
OG0001284	7	5
OG0001285	11	9
OG0001286	10	5
OG0001287	7	3
OG0001288	13	10
OG0001289	6	4
OG0001290	8	5
OG0001291	13	11
OG0001292	15	9
OG0001293	8	6
OG0001294	10	8
OG0001295	14	7
OG0001296	23	19
OG0001297	12	10
OG0001298	38	38
OG0001299	14	5
OG0001300	7	2
OG0001301	9	7
OG0001302	15	12
OG0001303	14	11
OG0001304	10	3
OG0001305	15	9
OG0001306	9	6
OG0001307	8	7
OG0001308	18	12
OG0001309	13	8
OG0001310	9	9
OG0001311	11	9
OG0001312	15	13
OG0001313	7	6
OG0001314	12	5
OG0001315	7	5
OG0001316	7	6
OG0001317	21	20
OG0001318	37	29
OG0001319	10	7
OG0001320	9	4
OG0001321	9	8
OG0001322	21	19
OG0001323	35	22
OG0001324	28	27
OG0001325	10	7
OG0001326	16	13
OG0001327	14	11
OG0001328	9	9
OG0001329	7	5
OG0001330	13	11
OG0001331	9	8
